18:28:32.435889 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.440405 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.444504 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.448609 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.453121 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.457225 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.461738 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.465841 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.470353 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.474460 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.478969 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.483074 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.487584 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.491691 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.496202 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.500308 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.504817 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.508920 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.513026 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.517539 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.521645 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.526154 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.530258 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.534770 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.538873 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.543385 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.547490 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.552002 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.556106 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.560618 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.564721 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.569234 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.573339 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.577442 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.581954 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.586058 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.590570 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.594675 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.599185 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.603292 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.607803 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.611906 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.616417 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.620523 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.625034 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.629140 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.633652 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.637756 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.642268 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.646370 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.650474 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.654987 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.659092 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.663604 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.667708 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.672219 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.676323 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
